No,Daerah,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Zona
68,A068,T,Y,Y,Y,Y,Y,89%,"0,09",6%,"0,16",Y,Y,Y,Y,KUNING
69,A069,Y,Y,Y,Y,Y,Y,63%,"0,07",5%,"0,17",Y,Y,Y,Y,KUNING
70,A070,Y,Y,Y,Y,Y,Y,52%,"0,05",7%,"0,14",T,Y,Y,Y,ORANGE
71,A071,Y,Y,Y,Y,T,Y,45%,"0,11",1%,"-0,04",Y,Y,Y,Y,ORANGE
72,A072,Y,Y,Y,Y,T,T,28%,"0,04",8%,"-0,12",Y,Y,Y,T,ORANGE
73,A073,T,T,Y,T,T,T,61%,"0,05",7%,"0,02",Y,Y,Y,Y,ORANGE
74,A074,Y,Y,Y,T,Y,Y,76%,"0,09",2%,"0,03",Y,T,Y,Y,KUNING
75,A075,Y,Y,Y,Y,Y,Y,4%,"0,2",2%,"-0,04",T,Y,T,T,MERAH
76,A076,T,Y,Y,Y,Y,Y,88%,"0,12",7%,"0,18",Y,Y,Y,Y,KUNING
77,A077,Y,Y,Y,Y,Y,Y,5%,"0,09",1%,"-0,11",Y,Y,Y,Y,ORANGE
78,A078,Y,T,T,Y,T,Y,78%,"0,03",5%,"-0,12",Y,Y,Y,Y,KUNING
79,A079,Y,Y,Y,Y,Y,Y,20%,"0,02",9%,"0,16",Y,T,T,T,MERAH
80,A080,T,Y,Y,Y,Y,T,0%,"0,15",9%,"-0,14",T,Y,Y,Y,MERAH
81,A081,T,Y,Y,T,Y,Y,49%,"0,14",3%,"0,04",Y,Y,Y,Y,ORANGE
82,A082,Y,Y,Y,T,Y,Y,95%,"0,17",7%,"0,04",Y,Y,T,Y,KUNING
83,A083,Y,T,Y,Y,T,Y,52%,"0,11",5%,"-0,15",Y,Y,Y,Y,KUNING
84,A084,T,Y,Y,Y,Y,Y,46%,"0,15",5%,"-0,02",Y,T,Y,T,ORANGE
85,A085,T,Y,Y,Y,Y,Y,25%,"0,13",1%,"-0,12",Y,T,Y,Y,ORANGE
86,A086,Y,Y,Y,Y,T,Y,78%,"0,07",8%,"0,2",T,Y,Y,Y,KUNING
87,A087,Y,Y,Y,Y,Y,Y,84%,"0,17",8%,"-0,15",Y,Y,Y,Y,KUNING
88,A088,Y,Y,Y,Y,Y,T,4%,"0,14",8%,"-0,02",Y,Y,T,T,MERAH
89,A089,Y,Y,Y,T,Y,Y,96%,"0,17",3%,"0,16",Y,Y,Y,Y,KUNING
90,A090,Y,Y,T,Y,T,Y,10%,"0,06",6%,"-0,12",Y,Y,Y,Y,ORANGE
91,A091,T,Y,Y,Y,Y,Y,53%,"0,17",9%,"-0,07",Y,T,Y,Y,KUNING
92,A092,T,T,Y,Y,Y,Y,93%,"0,07",3%,"-0,03",T,Y,Y,Y,KUNING
93,A093,Y,Y,Y,Y,Y,T,41%,"0,08",10%,"-0,11",Y,Y,T,Y,KUNING
94,A094,Y,Y,Y,T,T,Y,20%,"0,12",9%,"0,08",Y,Y,Y,T,MERAH
95,A095,Y,Y,Y,Y,Y,Y,92%,"0,19",9%,"-0,1",Y,Y,Y,Y,KUNING
96,A096,T,Y,Y,Y,Y,Y,97%,"0,09",10%,"-0,02",Y,Y,Y,Y,KUNING
97,A097,Y,Y,Y,Y,Y,T,23%,"0,17",0%,"0,11",T,Y,Y,Y,MERAH
98,A098,T,Y,Y,Y,T,Y,15%,"0,12",3%,"0,04",Y,Y,T,Y,MERAH
99,A099,Y,T,Y,T,Y,Y,21%,"0,14",7%,"-0,14",Y,Y,Y,Y,ORANGE
100,A100,T,Y,T,Y,Y,Y,47%,"0,17",8%,0,Y,Y,T,Y,ORANGE
